id,ticker,side,limit_price,shares,placed_date,status,filled_date,fill_price,gap_pct,cancel_reason,position_id,adjustments_count,original_limit_price
45,DONE.ST,buy,7.97,125.0,2026-08-16,filled,2026-08-17,7.97,1.76,,3,0,
44,GIG-SDB.ST,buy,1.8768,532.0,2026-08-16,filled,2026-08-17,1.8768,1.43,,5,0,
43,BRAIN.ST,buy,0.644,1552.0,2026-08-16,open,,,,,,0,
42,CLAV.ST,buy,4.8812,204.0,2026-08-16,open,,,,,,0,
41,ACCON.ST,buy,16.3075,61.0,2026-08-16,filled,2026-08-17,16.3075,0.05,,1,0,
40,ONCOZ.ST,buy,5.8121,172.0,2026-08-16,filled,2026-08-18,5.8121,0.21,,16,0,
39,HEART.ST,buy,18.4912,54.0,2026-08-16,open,,,,,,0,
38,SALT-B.ST,buy,5.9981,166.0,2026-08-16,filled,2026-08-17,5.9981,0.8,,12,0,
37,ELIC.ST,buy,2.7089,369.0,2026-08-16,filled,2026-08-17,2.7089,1.07,,4,0,
36,NXTCL.ST,buy,1.0051,994.0,2026-08-16,filled,2026-08-17,1.0051,3.89,,7,0,
35,MAGI.ST,buy,7.2547,137.0,2026-08-16,open,,,,,,0,
34,OPTI.ST,buy,2.5048,399.0,2026-08-16,filled,2026-08-17,2.5048,0.79,,8,0,
33,AEC.ST,buy,1.4245,702.0,2026-08-16,filled,2026-08-17,1.4245,1.02,,2,0,
32,STW.ST,buy,32.265,30.0,2026-08-16,open,,,,,,0,
31,BEAMMW-B.ST,buy,12.881,77.0,2026-08-16,filled,2026-08-18,12.881,1.09,,14,0,
30,ENVAR.ST,buy,46.552,21.0,2026-08-16,open,,,,,,0,
29,NIO.ST,buy,4.3733,228.0,2026-08-16,open,,,,,,0,
28,SPEC.ST,buy,0.032,28985.0,2026-08-16,open,,,,,,1,0.0345
27,IVACC.ST,buy,1.1022,907.0,2026-08-16,open,,,,,,0,
26,FERRO.ST,buy,2.599,384.0,2026-08-16,open,,,,,,0,
25,KLAR.ST,buy,0.8731,1145.0,2026-08-16,open,,,,,,0,
24,SPRINT.ST,buy,3.2647,306.0,2026-08-16,open,,,,,,0,
23,BRAVE.ST,buy,2.2816,438.0,2026-08-16,open,,,,,,0,
22,K33.ST,buy,0.0239,41841.0,2026-08-16,open,,,,,,0,
21,VETT.ST,buy,3.9763,251.0,2026-08-16,open,,,,,,0,
20,PROGEN.ST,buy,0.0941,10626.0,2026-08-16,open,,,,,,0,
19,SUBGEN.ST,buy,0.0499,20040.0,2026-08-16,open,,,,,,0,
18,LEMSE.ST,buy,1.937,516.0,2026-08-16,open,,,,,,0,
17,ORTIN.ST,buy,0.09,11111.0,2026-08-16,filled,2026-08-17,0.09,3.33,,9,0,
16,DICOT.ST,buy,0.2001,4997.0,2026-08-16,open,,,,,,0,
15,GSKR-SDB.ST,buy,21.62,46.0,2026-08-16,open,,,,,,0,
14,BIOEX.ST,buy,2.2272,448.0,2026-08-16,open,,,,,,0,
13,IMPC.ST,buy,2.668,374.0,2026-08-16,open,,,,,,0,
12,BLINC-B.ST,buy,0.098,9451.0,2026-08-16,open,,,,,,1,0.1058
11,OXE.ST,buy,0.2256,4432.0,2026-08-16,filled,2026-08-17,0.2256,0.71,,10,0,
10,DMXSE-SDB.ST,buy,4.1232,242.0,2026-08-16,open,,,,,,0,
9,SERT.ST,buy,0.5154,1940.0,2026-08-16,cancelled,,,,intradagsfall 9.6% - drogs tillbaka,,0,
8,FREEM.ST,buy,1.2595,793.0,2026-08-16,open,,,,,,0,
7,CFISH.ST,buy,2.499,374.0,2026-08-16,open,,,,,,1,2.672
6,HILB-B.ST,buy,3.7582,266.0,2026-08-16,filled,2026-08-18,3.7582,3.15,,15,0,
5,QLIFE.ST,buy,1.7645,566.0,2026-08-16,filled,2026-08-17,1.7645,0.48,,11,0,
4,SES.ST,buy,0.1878,5324.0,2026-08-16,filled,2026-08-17,0.1878,0.43,,13,0,
3,IZAFE-B.ST,buy,0.2966,3371.0,2026-08-16,filled,2026-08-17,0.2966,1.55,,6,0,
2,MODTX.ST,buy,0.3567,2575.0,2026-08-16,open,,,,,,1,0.3882
1,WYLD.ST,buy,0.3349,2985.0,2026-08-16,open,,,,,,0,
