# Auto-genererad av build_universe.py från First North-listan.
# Kör 'python run_daily.py' för att hämta data och se vilka
# som faktiskt har tillräcklig historik och omsättning.

2CUREX  # 2cureX
4C  # 4C Group
AAC  # AAC Clyde Space
ABSO  # Absolent Air Care Group
ACARIX  # Acarix
ACCON  # Acconeer
PADEL  # Acenta Group
ACOU  # AcouSort
ACROUD  # ACROUD
ACUVI  # Acuvi
ADTR  # Adtraction Group
ADVE  # Advenica AB
AEC  # AFRICA ENERGY CORP.
AGES-B  # Ages Industri
AGTIRA-B  # Agtira
AIRA  # AI Revenue Assistant Software
AINO  # Aino Health
ALCA  # Alcadon Group
ALM  # ALM Equity
ALPCOT-B  # Alpcot Holding
ALZCUR  # AlzeCure Pharma
ALZ  # Alzinova
ANNX  # Annexin Pharmaceuticals
ARCOMA  # Arcoma
ARCTIC  # Arctic Blue Beverages
ARFA  # Arctic Falls
ARCT  # Arctic Minerals
ARENIT-SDB  # ARENIT Industrie
AGROUP  # Arlandastad Group
ATIN  # Athanase Innovation
AVEN  # Avensia
AVT-B  # Avtech Sweden
AXIC-A  # aXichem
AXOLOT  # Axolot Solutions Holding
BAHN-B  # Bahnhof
BUSER  # Bambuser
BAWAT  # Bawat Water Technologies
BEAMMW-B  # BeammWave
BIM  # BIMobject
BINERO  # Binero Group
BIOEX  # Bioextrax
BIOSGN  # Biosergen
BIOVIC-B  # Biovica International
BLINC-B  # BlincVision AB
BOHO  # Boho Group
BOKUS  # Bokusgruppen
BOMILL  # BoMill
BOTX  # Botnia Gold
BRAIN  # BrainCool
BRIGHT  # BrightBid Group
BRILL  # Brilliant Future
BMC  # Brock Milton Capital
BYGGP  # ByggPartner Gruppen
CAG  # CAG Group
CALVIK  # Calviks
CANDLE-B  # Candles Scandinavia
CARE  # Careium
CASE  # Case Group
CDON  # CDON
CEDER  # Cedergrenska
CI  # Cell Impact
CRNO-B  # Cereno Scientific
CHARGE  # ChargePanel
CHECK  # checkin.com Group
CHEF  # Cheffelo
CIRCHE  # CirChem
CLAV  # Clavister
CLEMO  # Clean Motion
CLEM  # Clemondo Group
CLIME-B  # Climeon
CLS-B  # Clinical Laserthermia Systems
CDMIL  # CodeMill
COFFEE-B  # Coffee Stain Group
COLLAX  # Collaxio
CX  # CombinedX
COMPDM  # Compodium International
CLBIO  # Corline Biomedical
CFISH  # Crunchfish
DSNO  # Desenio Group
DEVP-B  # DevPort
DVYSR  # Devyser Diagnostics
DMYD-B  # Diamyd Medical
DICOT  # Dicot Pharma
DIST  # DistIT
DMXSE-SDB  # District Metals Corp.
DIVIO-B  # Divio Technologies
DLAB  # Dlaboratory Sweden
DONE  # Done.ai Group
DOXA  # Doxa
DRIL  # Drillcon
ALBERT  # eEducation Albert
EFFH  # Effnetplattformen Holding
ELIC  # Elicera Therapeutics
EMB  # EMB Mission Bound
EMBELL  # Embellence Group
ENERS  # Enersize
ERMA  # Enorama Pharma
ENVAR  # Envar Holding
ENZY  # Enzymatica
ESGR-B  # ES Group
EXPRS2  # ExpreS2ion Biotech Holding
EXS  # Exsitec Holding
FERRO  # Ferroamp
FIRE  # Firefly
FIRST-B  # First Venture Sweden
FLEXM  # Flexion Mobile
FLEXQ  # FlexQube
FLOWS  # Flowscape Technology
FLUI  # Fluicell
FLUO  # FluoGuide
FRACTL  # Fractal Gaming Group
FRAG  # Fragbite Group
FRAM-B  # Fram Skandinavien
FREEM  # Freemelt Holding
FREJA  # Freja eID Group
FSPORT  # FSport
GABA  # Gabather
GCOR  # Gaming Corps
GAPW-B  # Gapwaves
GPX  # Gasporox
GENI  # Generic Sweden
